,article,category
817,Cat_Stevens,['subject.People.Performers_and_composers']
818,Cataract,['subject.Science.Biology.Health_and_medicine']
819,Cataract_surgery,['subject.Science.Biology.Health_and_medicine']
820,Cathedral_of_Magdeburg,['subject.Design_and_Technology.Architecture']
821,Catherine_Cranston,['subject.History.British_History.British_History_Post_1900']
822,Catherine_II_of_Russia,['subject.People.Historical_figures']
823,Catholic_social_teaching,['subject.Religion.Religious_movements_traditions_and_organizations']
824,Cattle,['subject.Everyday_life.Food_and_agriculture']
825,Cave,['subject.Geography.Geology_and_geophysics']
826,Cayman_Islands,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
827,Celeriac,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
828,Celery,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
829,Celine_Dion,['subject.People.Performers_and_composers']
830,Cell_(biology),['subject.Science.Biology.General_Biology']
831,Cello,['subject.Music.Musical_Instruments']
832,Celtic_F.C.,['subject.Everyday_life.Sports_teams']
833,Celtic_Park,['subject.Everyday_life.Sports']
834,Celtic_mythology,['subject.Religion.Myths']
835,Central_African_Republic,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
836,Central_processing_unit,['subject.IT.Computing_hardware_and_infrastructure']
837,Ceratopsidae,['subject.Science.Biology.Dinosaurs']
838,Cereal,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
839,Cerebellum,['subject.Science.Biology.General_Biology']
840,Ceres_(dwarf_planet),['subject.Science.Physics.Space_Astronomy']
841,Cerium,['subject.Science.Chemistry.Chemical_elements']
842,Chad,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
843,Chadian-Sudanese_conflict,"['subject.Citizenship.Conflict_and_Peace', 'subject.History.Recent_History']"
844,Chaffinch,['subject.Science.Biology.Birds']
845,Channel_Islands,['subject.Geography.Geography_of_Great_Britain']
846,Charlemagne,['subject.People.Historical_figures']
847,Charles_Babbage,['subject.People.Computing_People']
848,Charles_Darwin,['subject.People.Human_Scientists']
849,Charles_Dickens,['subject.People.Writers_and_critics']
850,Charles_Etienne_Brasseur_de_Bourbourg,['subject.People.Writers_and_critics']
851,Charles_II_of_England,"['subject.History.British_History.British_History_15001750', 'subject.People.Monarchs_of_Great_Britain']"
852,Charles_I_of_England,"['subject.History.British_History.British_History_15001750', 'subject.People.Monarchs_of_Great_Britain']"
853,Charles_Sumner,['subject.People.Historical_figures']
854,"Charles_V,_Holy_Roman_Emperor",['subject.People.Historical_figures']
855,Charlie_Chaplin,['subject.People.Actors_models_and_celebrities']
856,Charlotte's_Web,['subject.Language_and_literature.Novels']
857,Chartism,['subject.History.British_History.British_History_17501900']
858,Che_Guevara,['subject.People.Historical_figures']
859,Cheers,['subject.Everyday_life.Television']
860,Cheese,['subject.Everyday_life.Food_and_agriculture']
861,Cheetah,['subject.Science.Biology.Mammals']
862,Chelsea_F.C.,['subject.Everyday_life.Sports_teams']
863,Chemical_element,['subject.Science.Chemistry.General_Chemistry']
864,Chemical_synapse,['subject.Science.Biology.General_Biology']
865,Chemistry,['subject.Science.Chemistry.General_Chemistry']
866,Chennai,['subject.Geography.Geography_of_Asia']
867,Chepstow_Bridge,['subject.Design_and_Technology.Engineering']
868,Chernobyl_disaster,['subject.History.Recent_History']
869,Chess,['subject.Everyday_life.Games']
870,Chester_A._Arthur,['subject.People.USA_Presidents']
871,Chestnut,['subject.Science.Biology.Plants']
872,Chew_Magna,['subject.Geography.Geography_of_Great_Britain']
873,Chew_Stoke,['subject.Geography.Geography_of_Great_Britain']
874,Chew_Valley,['subject.Geography.Geography_of_Great_Britain']
875,Chew_Valley_Lake,['subject.Geography.Geography_of_Great_Britain']
876,Chicago,['subject.Geography.North_American_Geography']
877,Chicago_Bears,['subject.Everyday_life.Sports_teams']
878,Chicago_and_North_Western_Railway,['subject.Design_and_Technology.Railway_transport']
879,Chicken,['subject.Everyday_life.Food_and_agriculture']
880,Child,['subject.Science.Biology.Health_and_medicine']
881,Children's_Crusade,"['subject.History.Military_History_and_War', 'subject.Religion.Religious_disputes']"
882,Children's_rights_movement,['subject.Citizenship.Animal_and_Human_Rights']
883,Chile,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
884,Chiltern_Hills,['subject.Geography.Geography_of_Great_Britain']
885,Chimpanzee,['subject.Science.Biology.Mammals']
886,China,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
887,Chinese_Rites_controversy,['subject.Religion.Religious_disputes']
888,Chinese_language,['subject.Language_and_literature.Languages']
889,Chinyingi,['subject.Geography.Geography_of_Asia']
890,Chives,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
891,Chlorine,['subject.Science.Chemistry.Chemical_elements']
892,Chocolate,['subject.Everyday_life.Food_and_agriculture']
893,Chola_dynasty,['subject.History.General_history']
894,Cholera,['subject.Science.Biology.Health_and_medicine']
895,Chordate,['subject.Science.Biology.Insects_Reptiles_and_Fish']
896,Chris_Evert,['subject.People.Sports_and_games_people']
897,Christian_Bale,['subject.People.Actors_models_and_celebrities']
898,Christian_monasticism,"['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain', 'subject.Religion.Religious_movements_traditions_and_organizations']"
899,Christianity,['subject.Religion.Religious_movements_traditions_and_organizations']
900,Christina_Aguilera,['subject.People.Performers_and_composers']
901,Christmas_Island,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries', 'subject.Geography.Geography_of_Oceania_Australasia']"
902,Christopher_Columbus,['subject.People.Geographers_and_explorers']
903,Christopher_Wren,"['subject.Design_and_Technology.Architecture', 'subject.People.Engineers_and_inventors']"
904,Chromatic_aberration,['subject.Science.Physics.Space_Astronomy']
905,Chromatophore,['subject.Science.Biology.General_Biology']
906,Chromium,['subject.Science.Chemistry.Chemical_elements']
907,Church_of_England,['subject.Religion.Religious_movements_traditions_and_organizations']
908,Church_of_Ireland,['subject.Religion.Religious_movements_traditions_and_organizations']
909,Cicely,['subject.Science.Biology.Plants']
910,Cider,['subject.Everyday_life.Drink']
911,Cinema_of_the_United_States,['subject.Everyday_life.Films']
912,Citizen_Kane,['subject.Everyday_life.Films']
913,Citizenship,['subject.Citizenship.Politics_and_government']
914,Citrus,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
915,City,['subject.Geography.General_Geography']
916,City_status_in_the_United_Kingdom,['subject.Geography.Geography_of_Great_Britain']
917,Civil_War_token,['subject.History.North_American_History']
918,Civil_rights,['subject.Citizenship.Animal_and_Human_Rights']
919,Civil_society,['subject.Citizenship.Politics_and_government']
920,Civilization,['subject.Citizenship.Culture_and_Diversity']
921,Civilization_(computer_game),['subject.Everyday_life.Computer_and_Video_games']
922,Clarinet,['subject.Music.Musical_Instruments']
923,Classic_female_blues,['subject.Music.Musical_genres_styles_eras_and_events']
924,Claude_Lévi-Strauss,['subject.People.Human_Scientists']
925,Claude_Monet,['subject.People.Artists']
926,Claudius,['subject.People.Historical_figures']
927,Clay,['subject.Geography.Geology_and_geophysics']
928,Cleopatra_VII,['subject.People.Historical_figures']
929,Cleopatra_VII_of_Egypt,"['subject.History.Ancient_History_Classical_History_and_Mythology', 'subject.People.Historical_figures']"
930,"Cleveland,_Ohio",['subject.Geography.North_American_Geography']
931,Clifton_Suspension_Bridge,"['subject.Design_and_Technology.Architecture', 'subject.Design_and_Technology.Engineering']"
932,Climate,['subject.Geography.General_Geography']
933,Climate_change,['subject.Geography.Climate_and_the_Weather']
934,Clock,['subject.Design_and_Technology.Engineering']
935,Clone_Wars_(Star_Wars),['subject.Everyday_life.Films']
936,Clothing,['subject.Everyday_life.Everyday_life']
937,Cloud,['subject.Geography.Climate_and_the_Weather']
938,Coal,"['subject.Citizenship.Environment', 'subject.Geography.Mineralogy']"
939,Coal_Tit,['subject.Science.Biology.Birds']
940,Cobalt,['subject.Science.Chemistry.Chemical_elements']
941,Coccinellidae,['subject.Science.Biology.Insects_Reptiles_and_Fish']
942,Cochineal,['subject.Science.Biology.Insects_Reptiles_and_Fish']
943,Cockatiel,['subject.Science.Biology.Birds']
944,Cocoa,['subject.Everyday_life.Food_and_agriculture']
945,Coconut,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
946,Coconut_crab,['subject.Science.Biology.Insects_Reptiles_and_Fish']
947,Coconut_oil,['subject.Everyday_life.Food_and_agriculture']
948,Cocos_(Keeling)_Islands,"['subject.Countries', 'subject.Geography.Geography_of_Oceania_Australasia']"
949,Cod,['subject.Science.Biology.Insects_Reptiles_and_Fish']
950,Code_of_Hammurabi,['subject.History.Ancient_History_Classical_History_and_Mythology']
951,Coffee,['subject.Everyday_life.Drink']
952,Coin,['subject.Business_Studies.Currency']
953,Cold_War,['subject.History.Recent_History']
954,Colditz_Castle,['subject.History.Military_History_and_War']
955,Colima_(volcano),['subject.Geography.Central_and_South_American_Geography']
956,Collapse_of_the_World_Trade_Center,['subject.History.Recent_History']
957,Colley_Cibber,"['subject.Language_and_literature.Theatre', 'subject.People.Writers_and_critics']"
958,Cologne,['subject.Geography.European_Geography']
959,Colombia,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
960,Colombo,['subject.Geography.Geography_of_Asia']
961,Color,['subject.Science.Physics.General_Physics']
962,Color_Graphics_Adapter,['subject.IT.Computing_hardware_and_infrastructure']
963,Color_blindness,['subject.Science.Biology.Health_and_medicine']
964,Colorado_River,['subject.Geography.North_American_Geography']
965,Colossus_of_Rhodes,"['subject.History.Ancient_History_Classical_History_and_Mythology', 'subject.Design_and_Technology.Architecture']"
966,Columba,['subject.People.Religious_figures_and_leaders']
967,Columbia_River,['subject.Geography.North_American_Geography']
968,Columbine_High_School_massacre,['subject.History.Recent_History']
969,"Columbus,_Ohio",['subject.Geography.North_American_Geography']
970,Comet,['subject.Science.Physics.Space_Astronomy']
971,Comet_Hale-Bopp,['subject.Science.Physics.Space_Astronomy']
972,Comet_Halley,['subject.Science.Physics.Space_Astronomy']
973,Comet_Hyakutake,['subject.Science.Physics.Space_Astronomy']
974,Comet_Shoemaker-Levy_9,['subject.Science.Physics.Space_Astronomy']
975,Comet_White-Ortiz-Bolelli,['subject.Science.Physics.Space_Astronomy']
976,Comics,['subject.Everyday_life.Cartoons']
977,Comma_Johanneum,['subject.Religion.Religious_texts']
978,Commodore_64,['subject.IT.Computing_hardware_and_infrastructure']
979,Common_Basilisk,['subject.Science.Biology.Insects_Reptiles_and_Fish']
980,Common_Cuckoo,['subject.Science.Biology.Birds']
981,Common_Eider,['subject.Science.Biology.Birds']
982,Common_Eland,['subject.Science.Biology.Mammals']
983,Common_Hazel,['subject.Science.Biology.Plants']
984,Common_Pheasant,"['subject.Science.Biology.Birds', 'subject.Everyday_life.Food_and_agriculture']"
985,Common_Tern,['subject.Science.Biology.Birds']
986,Common_agouti,['subject.Science.Biology.Mammals']
987,Common_cold,['subject.Science.Biology.Health_and_medicine']
988,Common_sage,['subject.Science.Biology.Plants']
989,Commonwealth_Games,['subject.Everyday_life.Sports_events']
990,Communication,['subject.Citizenship.Media']
991,Communism,['subject.Citizenship.Politics_and_government']
992,Community,['subject.Citizenship.Culture_and_Diversity']
993,Comoros,['subject.Geography.African_Geography.African_Countries']
994,Compact_Disc,['subject.IT.Computing_hardware_and_infrastructure']
995,Company_(law),['subject.Business_Studies.Business']
996,Compsognathus,['subject.Science.Biology.Dinosaurs']
997,Computational_chemistry,['subject.Science.Chemistry.General_Chemistry']
998,Computer,['subject.IT.Computing_hardware_and_infrastructure']
999,Computer_and_video_games,['subject.Everyday_life.Computer_and_Video_games']
1000,Computer_programming,['subject.IT.Computer_Programming']
1001,Computer_science,['subject.IT.Computer_Programming']
1002,Conakry,['subject.Geography.African_Geography']
1003,Concorde,['subject.Design_and_Technology.Air_and_Sea_transport']
1004,Condoleezza_Rice,['subject.People.Political_People']
1005,Conflict,['subject.Citizenship.Conflict_and_Peace']
1006,Confucianism,['subject.Religion.Philosophy']
1007,Confucius,['subject.People.Philosophers']
1008,Congo_River,['subject.Geography.African_Geography']
1009,Consolation_of_Philosophy,['subject.Religion.Philosophy']
1010,Constantine_I,['subject.People.Historical_figures']
1011,Constantine_II_of_Scotland,['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain']
1012,"Constitution_of_May_3,_1791",['subject.Citizenship.Law']
1013,Constitutional_monarchy,['subject.Citizenship.Politics_and_government']
1014,Constructivism_(art),['subject.Art.Art']
1015,Consumer_protection,['subject.Citizenship.Law']
1016,Contact_lens,['subject.Design_and_Technology.Engineering']
1017,Continent,['subject.Geography.General_Geography']
1018,Continental_crust,['subject.Geography.Geology_and_geophysics']
1019,Control_car_(rail),['subject.Design_and_Technology.Railway_transport']
1020,Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,"['subject.Citizenship.Animal_and_Human_Rights', 'subject.Citizenship.Law']"
1021,Convention_on_the_Rights_of_the_Child,['subject.Citizenship.Animal_and_Human_Rights']
1022,Cook_Islands,"['subject.Countries', 'subject.Geography.Geography_of_Oceania_Australasia']"
1023,Cookiecutter_shark,['subject.Science.Biology.Insects_Reptiles_and_Fish']
1024,Cooperative,"['subject.Business_Studies.Business', 'subject.Citizenship.Community_organisations']"
1025,Coot,['subject.Science.Biology.Birds']
1026,Copenhagen,['subject.Geography.European_Geography']
1027,Copenhagen_Fire_of_1728,['subject.History.General_history']
1028,Copper,['subject.Science.Chemistry.Chemical_elements']
1029,Copper(I)_chloride,['subject.Science.Chemistry.Chemical_compounds']
1030,Coriander,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
1031,Corinthian_War,['subject.History.Pre_1900_Military']
1032,Cormorant,['subject.Science.Biology.Birds']
1033,Corn_oil,['subject.Everyday_life.Food_and_agriculture']
1034,Cornea,['subject.Science.Biology.Health_and_medicine']
1035,Cornell_University,['subject.Citizenship.Education']
1036,Coronation_Street,['subject.Everyday_life.Television']
1037,Corporate_finance,['subject.Business_Studies.Business']
1038,Corporation,['subject.Business_Studies.Business']
1039,Corrosion,['subject.Design_and_Technology.Engineering']
1040,Corundum,['subject.Geography.Mineralogy']
1041,Cosmic_inflation,['subject.Science.Physics.Space_Astronomy']
1042,Cosmic_microwave_background_radiation,['subject.Science.Physics.Space_Astronomy']
1043,Costa_Rica,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
1044,Costume_design,['subject.Language_and_literature.Theatre']
1045,Cotopaxi,"['subject.Geography.Central_and_South_American_Geography', 'subject.Geography.Natural_Disasters']"
1046,Cotswolds,['subject.Geography.Geography_of_Great_Britain']
1047,Cotton,['subject.Science.Biology.Plants']
1048,Coulomb's_law,['subject.Science.Physics.Electricity_and_Electronics']
1049,Country,['subject.Geography.General_Geography']
1050,Coupling_(railway),['subject.Design_and_Technology.Railway_transport']
1051,Coventry,['subject.Geography.Geography_of_Great_Britain']
1052,Crab_Nebula,['subject.Science.Physics.Space_Astronomy']
1053,Crash_test_dummy,['subject.Design_and_Technology.Engineering']
1054,Craters_of_the_Moon_National_Monument_and_Preserve,['subject.Geography.North_American_Geography']
1055,Craton,['subject.Geography.Geology_and_geophysics']
1056,Creation-evolution_controversy,"['subject.Science.Biology.Evolution_and_reproduction', 'subject.Religion.Religious_disputes']"
1057,Creationism,"['subject.Religion.Myths', 'subject.Religion.Religious_disputes']"
1058,Creative_Commons,['subject.Citizenship.Law']
1059,Cretaceous,['subject.Geography.Geology_and_geophysics']
1060,Cretaceous-Tertiary_extinction_event,"['subject.History.Ancient_History_Classical_History_and_Mythology', 'subject.Geography.Geology_and_geophysics']"
1061,Cricket,['subject.Everyday_life.Sports']
1062,Crime,['subject.Citizenship.Law']
1063,Crime_and_Punishment,['subject.Language_and_literature.Novels']
1064,Crime_in_Mexico,['subject.Geography.Central_and_South_American_Geography']
1065,Crimean_Karaites,['subject.Geography.Peoples']
1066,Crimean_War,['subject.History.Pre_1900_Military']
1067,Crimson-collared_Tanager,['subject.Science.Biology.Birds']
1068,Cristero_War,['subject.History.Military_History_and_War']
1069,Criticism_of_the_War_on_Terrorism,['subject.Citizenship.Politics_and_government']
1070,Croatia,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
1071,Crocodile,['subject.Science.Biology.Insects_Reptiles_and_Fish']
1072,Crohn's_disease,['subject.Science.Biology.Health_and_medicine']
1073,Cross_Fell,['subject.Geography.Geography_of_Great_Britain']
1074,Crossbill,['subject.Science.Biology.Birds']
1075,Crow,['subject.Science.Biology.Birds']
1076,Crown_Jewels_of_the_United_Kingdom,"['subject.History.British_History', 'subject.Citizenship.Politics_and_government']"
1077,Crusades,"['subject.History.Pre_1900_Military', 'subject.Religion.Religious_disputes']"
1078,Crust_(geology),['subject.Geography.Geology_and_geophysics']
1079,Crustacean,['subject.Science.Biology.Organisms']
1080,Cryptography,['subject.IT.Cryptography']
1081,Crystal,['subject.Science.Chemistry.Materials_science']
1082,Crystallographic_defects_in_diamond,['subject.Science.Chemistry.Materials_science']
1083,Cuba,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
1084,Cubeb,['subject.Science.Biology.Plants']
1085,Cubism,['subject.Art.Art']
1086,Cuckmere_Haven,['subject.Geography.Geography_of_Great_Britain']
1087,Cultivar,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.General_Biology']"
1088,Cultural_diversity,['subject.Citizenship.Culture_and_Diversity']
1089,Cultural_identity,['subject.Citizenship.Culture_and_Diversity']
1090,Culture,['subject.Everyday_life.Everyday_life']
1091,Culture_of_the_Democratic_Republic_of_the_Congo,['subject.Geography.African_Geography']
1092,Curium,['subject.Science.Chemistry.Chemical_elements']
1093,Currency,['subject.Business_Studies.Currency']
1094,Cyanocobalamin,['subject.Science.Chemistry.Chemical_compounds']
1095,Cyberpunk,['subject.Language_and_literature.Literature_types']
1096,Cyclamen,"['subject.Science.Biology.Plants', 'subject.Everyday_life.Recreation']"
1097,Cyclone_Percy,"['subject.Geography.Natural_Disasters', 'subject.Geography.Storms']"
1098,Cyclone_Rosita,"['subject.Geography.Natural_Disasters', 'subject.Geography.Storms']"
1099,Cyclops,['subject.History.Ancient_History_Classical_History_and_Mythology']
1100,Cymbopogon,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
1101,Cyprus,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
1102,Cyril_Clarke,['subject.People.Human_Scientists']
1103,Cyrus_K._Holliday,['subject.People.Political_People']
1104,Cyrus_the_Great,['subject.People.Historical_figures']
1105,Cystic_fibrosis,['subject.Science.Biology.Health_and_medicine']
1106,Czech_Republic,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
1107,Cædmon,['subject.People.Writers_and_critics']
1108,Côte_d'Ivoire,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
1109,DNA,['subject.Science.Biology.General_Biology']
1110,DNA_repair,['subject.Science.Biology.General_Biology']
1111,DVD,['subject.IT.Computing_hardware_and_infrastructure']
1112,Dad's_Army,['subject.Everyday_life.Television']
1113,Dada,['subject.Citizenship.Culture_and_Diversity']
1114,Dakar,['subject.Geography.African_Geography']
1115,"Dakota,_Minnesota_and_Eastern_Railroad",['subject.Design_and_Technology.Railway_transport']
1116,Daley_Thompson,['subject.People.Sports_and_games_people']
1117,"Dallas,_Texas",['subject.Geography.North_American_Geography']
1118,Dam,['subject.Design_and_Technology.Engineering']
1119,Damascus,['subject.Geography.Geography_of_the_Middle_East']
1120,Damascus_steel,['subject.Design_and_Technology.Engineering']
1121,Damon_Hill,['subject.People.Sports_and_games_people']
1122,Dance,['subject.Everyday_life.Recreation']
1123,Dandelion,['subject.Science.Biology.Plants']
1124,Daniel_Day-Lewis,['subject.People.Actors_models_and_celebrities']
1125,Daniel_Ellsberg,['subject.People.Political_People']
1126,Danny_Deever,['subject.Language_and_literature.Poetry_and_Opera']
1127,Danske_Statsbaner,['subject.Design_and_Technology.Railway_transport']
1128,Dante_Alighieri,['subject.People.Writers_and_critics']
1129,Danube,['subject.Geography.European_Geography']
1130,Darfur_conflict,['subject.History.Military_History_and_War']
1131,Dark_Ages,['subject.History.General_history']
1132,Darling_River,['subject.Geography.Geography_of_Oceania_Australasia']
1133,Darmstadtium,['subject.Science.Chemistry.Chemical_elements']
1134,Darth_Vader,['subject.Everyday_life.Films']
1135,Dartmoor,['subject.Geography.Geography_of_Great_Britain']
1136,Das_Kapital,['subject.Business_Studies.Economics']
1137,Data_Encryption_Standard,['subject.IT.Cryptography']
1138,David_Attenborough,['subject.People.Producers_directors_and_media_figures']
1139,David_Beckham,['subject.People.Sports_and_games_people']
1140,David_Blanchflower,['subject.People.Political_People']
1141,David_Cameron,['subject.People.Political_People']
1142,David_Copperfield_(novel),['subject.Language_and_literature.Novels']
1143,David_Helvarg,['subject.People.Writers_and_critics']
1144,David_Heymann,['subject.People.Political_People']
1145,David_Hilbert,['subject.People.Mathematicians']
1146,David_Hume,['subject.People.Philosophers']
1147,David_III_of_Tao,['subject.History.Ancient_History_Classical_History_and_Mythology']
1148,David_Livingstone,"['subject.History.British_History.British_History_17501900', 'subject.People.Geographers_and_explorers']"
1149,Davis_Cup,['subject.Everyday_life.Sports_events']
1150,Davy_Jones'_Locker,['subject.Religion.Myths']
1151,Day,['subject.Everyday_life.Everyday_life']
1152,Dayuan,['subject.Geography.Peoples']
1153,Dead_Sea,['subject.Geography.General_Geography']
1154,Dead_Sea_scrolls,['subject.Religion.Religious_texts']
1155,Death_Valley_National_Park,['subject.Geography.North_American_Geography']
1156,Decade_Volcanoes,['subject.Geography.Geology_and_geophysics']
1157,Deconstructivism,['subject.Design_and_Technology.Architecture']
1158,Defaka,['subject.Geography.African_Geography']
1159,Defense_of_Sihang_Warehouse,['subject.History.Military_History_and_War']
1160,Definition_of_planet,['subject.Science.Physics.The_Planets']
1161,Deinonychus,['subject.Science.Biology.Dinosaurs']
1162,Deity,['subject.Religion.Divinities']
1163,Delhi,['subject.Geography.Geography_of_Asia']
1164,Deluge_(mythology),['subject.Religion.Myths']
1165,Demand_Note,['subject.Business_Studies.Currency']
1166,Democracy,['subject.Citizenship.Politics_and_government']
1167,Democratic_Action_Party,['subject.Citizenship.Politics_and_government']
1168,Democratic_Republic_of_the_Congo,['subject.Geography.African_Geography.African_Countries']
1169,Demosthenes,"['subject.History.Ancient_History_Classical_History_and_Mythology', 'subject.People.Historical_figures']"
1170,Denis_Law,['subject.People.Sports_and_games_people']
1171,Denmark,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
1172,Dennis_Ritchie,['subject.People.Computing_People']
1173,"Denver,_Colorado",['subject.Geography.North_American_Geography']
1174,Derby,['subject.Geography.Geography_of_Great_Britain']
1175,Desert,"['subject.Geography.Climate_and_the_Weather', 'subject.Geography.Geology_and_geophysics']"
1176,Desert_locust,['subject.Science.Biology.Insects_Reptiles_and_Fish']
1177,Desmond_Tutu,['subject.People.Religious_figures_and_leaders']
1178,Despotism,['subject.Citizenship.Politics_and_government']
1179,"Detroit,_Michigan",['subject.Geography.North_American_Geography']
1180,Devonian,['subject.Geography.Geology_and_geophysics']
1181,Dewey_Square,['subject.Geography.North_American_Geography']
1182,Diabetes_mellitus,['subject.Science.Biology.Health_and_medicine']
1183,Diamond,['subject.Geography.Mineralogy']
1184,Diamond_cut,['subject.Science.Chemistry.Materials_science']
1185,Diamond_simulant,['subject.Science.Chemistry.Materials_science']
1186,Diane_Keaton,['subject.People.Actors_models_and_celebrities']
1187,Dice,['subject.Everyday_life.Games']
1188,Dido_and_Aeneas,['subject.Language_and_literature.Poetry_and_Opera']
1189,Diego_Garcia,['subject.Geography.Geography_of_Asia']
1190,Diego_Maradona,['subject.People.Sports_and_games_people']
1191,Diego_Velázquez,['subject.People.Artists']
1192,Differential_equation,['subject.Mathematics']
1193,Differential_geometry_and_topology,['subject.Mathematics']
1194,Diffuse_interstellar_band,['subject.Science.Physics.Space_Astronomy']
1195,Dik-dik,['subject.Science.Biology.Mammals']
1196,Dill,['subject.Science.Biology.Plants']
1197,Dilophosaurus,['subject.Science.Biology.Dinosaurs']
1198,Dimetrodon,['subject.Science.Biology.Dinosaurs']
1199,Dingo,['subject.Science.Biology.Mammals']
1200,Dinosaur,['subject.Science.Biology.Dinosaurs']
1201,Diplodocus,['subject.Science.Biology.Dinosaurs']
1202,Directive_Principles_in_India,['subject.Citizenship.Politics_and_government']
1203,Disneyland_Railroad,['subject.Design_and_Technology.Railway_transport']
1204,Distilled_beverage,['subject.Everyday_life.Drink']
1205,Dixie_Mission,['subject.History.World_War_II']
1206,Djibouti,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
1207,Dmitri_Mendeleev,['subject.People.Chemists']
1208,Doctor_Who,['subject.Everyday_life.Television']
1209,Dodo,['subject.Science.Biology.Birds']
1210,Dog,['subject.Science.Biology.Mammals']
1211,Doha,['subject.Geography.Geography_of_the_Middle_East']
1212,Dolphin,['subject.Science.Biology.Mammals']
1213,Domesday_Book,['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain']
1214,Domestic_AC_power_plugs_and_sockets,['subject.Design_and_Technology.Engineering']
1215,Domestic_goat,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Mammals']"
1216,Domesticated_turkey,['subject.Science.Biology.Birds']
1217,Dominica,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
1218,Dominican_Republic,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
1219,Donald_Bradman,['subject.People.Sports_and_games_people']
1220,Donald_Duck,['subject.Everyday_life.Cartoons']
1221,Donald_Knuth,['subject.People.Computing_People']
1222,Doom,['subject.Everyday_life.Computer_and_Video_games']
1223,Dorset,['subject.Geography.Geography_of_Great_Britain']
1224,Double-decker_bus,['subject.Design_and_Technology.Road_transport']
1225,Double_bass,['subject.Music.Musical_Instruments']
1226,Douglas_Adams,['subject.People.Writers_and_critics']
1227,Douglas_DC-4,['subject.Design_and_Technology.Air_and_Sea_transport']
1228,Dove,['subject.Science.Biology.Birds']
1229,Dover,['subject.Geography.Geography_of_Great_Britain']
1230,Down_syndrome,['subject.Science.Biology.Health_and_medicine']
1231,Dr._Seuss,['subject.People.Writers_and_critics']
1232,Drama,"['subject.Art.Art', 'subject.Language_and_literature.Theatre']"
1233,Draughts,['subject.Everyday_life.Games']
1234,Drawing,['subject.Art.Art']
1235,Dresden,['subject.Geography.European_Geography']
1236,Drinking_water,['subject.Everyday_life.Drink']
1237,Driving_on_the_left_or_right,['subject.Design_and_Technology.Road_transport']
1238,Drosera_anglica,['subject.Science.Biology.Plants']
1239,Drosophila_melanogaster,['subject.Science.Biology.Insects_Reptiles_and_Fish']
1240,Drought,['subject.Geography.Climate_and_the_Weather']
1241,Drum_and_bass,['subject.Music.Musical_genres_styles_eras_and_events']
1242,Du_Fu,['subject.People.Writers_and_critics']
1243,Dualism_(philosophy_of_mind),['subject.Religion.Philosophy']
1244,Dubai,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
1245,Dublin,['subject.Geography.European_Geography']
1246,Dubnium,['subject.Science.Chemistry.Chemical_elements']
1247,Duchenne_muscular_dystrophy,['subject.Science.Biology.Health_and_medicine']
1248,Dundee,['subject.Geography.Geography_of_Great_Britain']
1249,Dundee_United_F.C.,['subject.Everyday_life.Sports_teams']
1250,Dune,['subject.Geography.Geology_and_geophysics']
1251,Dunnock,['subject.Science.Biology.Birds']
